,race_id,office,loc_date_id,state,abbrev,year,GOP_win,winner,rival,pred_GOP,pred_DEM,unopposed,inc_GOP_running,inc_DEM_running,prez_GOP,approval_effects_GOP,approval_effects_DEM,nat_UR_effects_GOP,nat_UR_effects_DEM,state_UR_effects_GOP,state_UR_effects_DEM,total_male,total_female,age_under18,age_18to29,age_30to59,age_60over,race_white_nh,race_black,race_natamer,race_asian,race_hispanic,percent_male,percent_female,percent_under18,percent_age_18to29,percent_age_30to59,percent_age_60over,percent_race_white,percent_race_black,percent_race_natamer,percent_race_asian,percent_race_hispanic
46,LA_sen_1984,LA_sen,LA_1984,Louisiana,LA,1984,0,Bennett Johnston Jr ,Robert Max Ross,0,1,0,0,0,1.0,22.0,0.0,7.4,0.0,10.5,0.0,2036491,2175038,1289188,902349,1424398,595594,2788143,1262796,15176,40279,96698,0.483551461,0.516448539,0.306109254,0.214256865,0.33821398399999997,0.14141989800000002,0.662026309,0.299842646,0.003603442,0.009563985,0.022960307000000003
47,MA_sen_1984,MA_sen,MA_1984,Massachusetts,MA,1984,0,John Kerry,Ray Shamie,0,1,0,0,0,1.0,22.0,0.0,7.4,0.0,4.3,0.0,2794034,3054758,1435463,1270332,2108295,1034701,5189546,252669,10415,151041,199645,0.477711295,0.522288705,0.24542897100000002,0.21719561899999998,0.360466743,0.176908497,0.8872851009999999,0.043200203,0.00178071,0.025824307,0.034134398999999996
48,ME_sen_1984,ME_sen,ME_1984,Maine,ME,1984,1,William Cohen,Libby Mitchell,1,0,0,1,0,1.0,22.0,0.0,7.4,0.0,5.8,0.0,566881,599086,316433,229223,418231,202080,1145395,4084,5018,5217,5735,0.486189575,0.513810425,0.271391043,0.196594758,0.358698831,0.173315368,0.982356276,0.003502672,0.004303724,0.004474398,0.0049186640000000005
49,MI_sen_1984,MI_sen,MI_1984,Michigan,MI,1984,0,Carl Levin,Jack R  Lousma,0,1,0,0,1,1.0,22.0,0.0,7.4,0.0,10.9,0.0,4514826,4760540,2634698,1946363,3306764,1387540,7660299,1234989,49207,114331,178102,0.486754485,0.513245515,0.284053265,0.20984217800000002,0.35651035200000003,0.14959409699999998,0.825875658,0.133147199,0.005305128,0.012326306,0.019201614
50,MN_sen_1984,MN_sen,MN_1984,Minnesota,MN,1984,1,Rudy Boschwitz,Joan Growe,1,0,0,1,0,1.0,22.0,0.0,7.4,0.0,5.9,0.0,2056769,2138853,1169798,882987,1465454,677383,3976546,69373,42002,59276,40827,0.490217899,0.509782101,0.27881396399999997,0.21045437399999997,0.34928170399999997,0.161449959,0.9477846190000001,0.016534616000000002,0.010010910999999999,0.01412806,0.009730858
51,MS_sen_1984,MS_sen,MS_1984,Mississippi,MS,1984,1,Thad Cochran,William Winter,1,0,0,1,0,1.0,22.0,0.0,7.4,0.0,10.6,0.0,1220574,1321096,787223,517985,1465454,407011,1601553,898289,7558,11119,21211,0.480225206,0.519774794,0.30972667600000003,0.20379711,0.576571309,0.160135265,0.630118387,0.35342471700000005,0.002973635,0.004374683,0.008345301
52,MT_sen_1984,MT_sen,MT_1984,Montana,MT,1984,0,Max Baucus,Chuck Cozzens,0,1,0,0,1,1.0,22.0,0.0,7.4,0.0,7.4,0.0,393883,397757,227979,155745,280048,127869,730131,1995,41692,5016,10854,0.497553181,0.502446819,0.287983174,0.196737153,0.35375675799999995,0.16152417800000002,0.9223018040000001,0.002520085,0.052665353,0.006336213,0.013710778
53,NC_sen_1984,NC_sen,NC_1984,North_Carolina,NC,1984,1,Jesse Helms,Jim Hunt,1,0,0,1,0,1.0,22.0,0.0,7.4,0.0,6.9,0.0,2998947,3181567,1637101,1336373,2253851,953190,4615047,1373962,71638,47357,64691,0.48522614799999997,0.514773852,0.264881044,0.216223602,0.364670479,0.15422503699999998,0.7467092540000001,0.22230545899999998,0.011590945,0.0076623080000000005,0.010466929
54,NE_sen_1984,NE_sen,NE_1984,Nebraska,NE,1984,0,J  James Exon,Nancy Hoch,0,1,0,0,1,1.0,22.0,0.0,7.4,0.0,4.4,0.0,767312,805937,439907,319745,533352,280246,1455952,51729,10452,16119,31603,0.487724448,0.5122755520000001,0.279616895,0.203238648,0.33901308700000005,0.178132006,0.9254428259999999,0.032880364,0.006643576,0.010245676,0.020087729
55,NH_sen_1984,NH_sen,NH_1984,New_Hampshire,NH,1984,1,Gordon J  Humphrey,Norman D Amours,1,0,0,1,0,1.0,22.0,0.0,7.4,0.0,4.3,0.0,486495,509572,266351,206540,370180,152995,973419,5474,1685,7013,7885,0.48841594,0.51158406,0.267402695,0.20735552899999998,0.371641667,0.153599105,0.977262574,0.005495614,0.0016916529999999998,0.007040691,0.007916134
56,NJ_sen_1984,NJ_sen,NJ_1984,New_Jersey,NJ,1984,0,Bill Bradley,Mary V  Mochary,0,1,0,0,1,1.0,22.0,0.0,7.4,0.0,5.9,0.0,3614081,3896888,1914301,1447047,2854944,1294677,5554012,969675,12108,284801,591074,0.48117373399999996,0.518826266,0.254867381,0.192657831,0.38010328600000004,0.172371501,0.739453458,0.129101185,0.0016120420000000002,0.03791801,0.078694773
57,NM_sen_1984,NM_sen,NM_1984,New_Mexico,NM,1984,1,Pete Domenici,Judith A  Pratt,1,0,0,1,0,1.0,22.0,0.0,7.4,0.0,8.1,0.0,683395,704369,429441,287334,483172,187817,534782,25927,117792,86427,518023,0.49244324,0.50755676,0.30944814800000003,0.207048172,0.348165826,0.135337853,0.385355147,0.018682571000000002,0.084878985,0.06227788,0.37327888600000003
58,OK_sen_1984,OK_sen,OK_1984,Oklahoma,OK,1984,0,David L  Boren,Will E  Crozier,0,1,0,0,1,1.0,22.0,0.0,7.4,0.0,7.1,0.0,1498351,1575057,847733,620786,1076260,528628,2526328,216406,203702,42200,68915,0.487521019,0.512478981,0.27582833100000004,0.20198619899999998,0.350184551,0.172000593,0.821995648,0.070412389,0.066278867,0.013730686,0.022422991
59,OR_sen_1984,OR_sen,OR_1984,Oregon,OR,1984,1,Mark Hatfield,Margie Hendriksen,1,0,0,1,0,1.0,22.0,0.0,7.4,0.0,9.3,0.0,1336769,1380023,723486,542251,993774,457280,2467963,40944,33680,72919,84591,0.49203950799999996,0.507960492,0.266301579,0.19959238699999998,0.365789505,0.16831616100000002,0.9084107290000001,0.015070716000000001,0.012396974,0.026840111,0.031136355
60,RI_sen_1984,RI_sen,RI_1984,Rhode_Island,RI,1984,0,Claiborne Pell,Barbara Leonard,0,1,0,0,1,1.0,22.0,0.0,7.4,0.0,5.0,0.0,463349,506329,235987,205901,342897,184893,877070,31961,3551,21233,30125,0.477838004,0.522161996,0.243366355,0.21233956,0.353619449,0.190674636,0.904496132,0.032960426,0.00366204,0.02189696,0.031067014
61,SC_sen_1984,SC_sen,SC_1984,South_Carolina,SC,1984,1,Strom Thurmond,,1,0,0,1,0,1.0,22.0,0.0,7.4,0.0,6.8,0.0,1586212,1681561,933262,713605,1154838,466068,2219209,984735,7345,20662,32276,0.485410706,0.514589294,0.285595725,0.218376552,0.353402149,0.142625574,0.679119694,0.301347431,0.0022477079999999997,0.006322960999999999,0.009877063
62,SD_sen_1984,SD_sen,SD_1984,South_Dakota,SD,1984,1,Larry Pressler,George V  Cunningham,1,0,0,1,0,1.0,22.0,0.0,7.4,0.0,4.5,0.0,341409,351453,202748,139806,223905,126403,634395,2594,47573,3013,4515,0.492751803,0.507248197,0.29262392800000003,0.201780441,0.32315959,0.18243604100000002,0.915615231,0.0037438909999999996,0.068661581,0.0043486290000000006,0.0065164490000000005
