,race_id,office,loc_date_id,state,abbrev,year,GOP_win,winner,rival,pred_GOP,pred_DEM,unopposed,inc_GOP_running,inc_DEM_running
122,IL_sen_1990,IL_sen,IL_1990,Illinois,IL,1990,0,Paul Simon,Lynn Morley Martin,0,1,0,0,1
123,IL_sen_1992,IL_sen,IL_1992,Illinois,IL,1992,0,Carol Moseley Braun,Richard S  Williamson,0,1,0,0,0
124,IL_sen_1996,IL_sen,IL_1996,Illinois,IL,1996,0,Dick Durbin,Al Salvi,0,1,0,0,0
125,IL_sen_1998,IL_sen,IL_1998,Illinois,IL,1998,1,Peter Fitzgerald,Carol Moseley Braun,0,1,0,0,1
126,IL_sen_2002,IL_sen,IL_2002,Illinois,IL,2002,0,Dick Durbin,Jim Durkin,0,1,0,0,1
549,IL_sen_2004,IL_sen,IL_2004,Illinois,IL,2004,0,Barack Obama,Alan Keyes,1,0,0,0,0
131,IL_sen_2010,IL_sen,IL_2010,Illinois,IL,2010,1,Mark Kirk,Alexi Giannoulias,0,1,0,0,0
130,IL_sen_2014,IL_sen,IL_2014,Illinois,IL,2014,0,Dick Durbin,Jim Oberweis,0,1,0,0,1
550,IL_sen_2016,IL_sen,IL_2016,Illinois,IL,2016,0,Tammy Duckworth,Mark Kirk,1,0,0,1,0
132,IN_sen_1976,IN_sen,IN_1976,Indiana,IN,1976,1,Richard Lugar,Vance Hartke,0,1,0,0,1
133,IN_sen_1980,IN_sen,IN_1980,Indiana,IN,1980,1,Dan Quayle,Birch Bayh,0,1,0,0,1
551,IN_sen_1982,IN_sen,IN_1982,Indiana,IN,1982,1,Richard Lugar,Floyd Fithian,1,0,0,1,0
555,IN_sen_1986,IN_sen,IN_1986,Indiana,IN,1986,1,Dan Quayle,Jill L  Long,1,0,0,1,0
556,IN_sen_1988,IN_sen,IN_1988,Indiana,IN,1988,1,Richard Lugar,Jack Wickes,1,0,0,1,0
564,IN_sen_1990,IN_sen,IN_1990,Indiana,IN,1990,1,Dan Coats,Baron Hill,1,0,0,1,0
557,IN_sen_1992,IN_sen,IN_1992,Indiana,IN,1992,1,Dan Coats,Joseph Hogsett,1,0,0,1,0
558,IN_sen_1994,IN_sen,IN_1994,Indiana,IN,1994,1,Richard Lugar,Jim Jontz,1,0,0,1,0
559,IN_sen_1998,IN_sen,IN_1998,Indiana,IN,1998,0,Evan Bayh,Paul Helmke,1,0,0,0,0
560,IN_sen_2000,IN_sen,IN_2000,Indiana,IN,2000,1,Richard Lugar,David Johnson,1,0,0,1,0
134,IN_sen_2004,IN_sen,IN_2004,Indiana,IN,2004,0,Evan Bayh,Marvin Scott,0,1,0,0,1
561,IN_sen_2006,IN_sen,IN_2006,Indiana,IN,2006,1,Richard Lugar,Steve Osborn,1,0,0,1,0
135,IN_sen_2010,IN_sen,IN_2010,Indiana,IN,2010,1,Dan Coats,Brad Ellsworth,0,1,0,0,0
562,IN_sen_2012,IN_sen,IN_2012,Indiana,IN,2012,0,Joe Donnelly,Richard Mourdock,1,0,0,0,0
563,IN_sen_2016,IN_sen,IN_2016,Indiana,IN,2016,1,Todd Young,Evan Bayh,1,0,0,0,0
575,KS_sen_1978,KS_sen,KS_1978,Kansas,KS,1978,1,Nancy Kassebaum,William R  Roy,1,0,0,0,0
576,KS_sen_1980,KS_sen,KS_1980,Kansas,KS,1980,1,Bob Dole,John Simpson,1,0,0,1,0
577,KS_sen_1984,KS_sen,KS_1984,Kansas,KS,1984,1,Nancy Landon Kassebaum,James R  Maher,1,0,0,1,0
581,KS_sen_1986,KS_sen,KS_1986,Kansas,KS,1986,1,Bob Dole,Guy MacDonald,1,0,0,1,0
582,KS_sen_1990,KS_sen,KS_1990,Kansas,KS,1990,1,Nancy L  Kassebaum,Dick Williams,1,0,0,1,0
583,KS_sen_1992,KS_sen,KS_1992,Kansas,KS,1992,1,Bob Dole,Gloria O Dell,1,0,0,1,0
