year,state,abbrev,col,combo1,combo2,total_population,total_male,total_female,age_under18,age_18to29,age_30to59,age_60over,race_white,race_black,race_natamer,race_asian,race_hispanic
1988,Texas,TX,44,Texas_1988,TX_1988,16435046,8092515,8342531,4729892,3396387,6052699,2256068,12480420,1958254,62864,1726277,4069089
1989,Texas,TX,44,Texas_1989,TX_1989,16710778,8229239,8481539,4782866,3409986,6217690,2300237,12627591,1989943,64371,1925258,4204497
1990,Texas,TX,44,Texas_1990,TX_1990,16986510,8365963,8620547,4835839,3423584,6382680,2344407,12774762,2021632,65877,2124239,4339905
1991,Texas,TX,44,Texas_1991,TX_1991,17373041,8564658,8808383,4940931,3460266,6584458,2387386,12977236,2059925,71126,2213291,4572881
1992,Texas,TX,44,Texas_1992,TX_1992,17759572,8763352,8996220,5046023,3496948,6786235,2430366,13179711,2098219,76374,2302342,4805857
1993,Texas,TX,44,Texas_1993,TX_1993,18146103,8962047,9184056,5151115,3533630,6988013,2473345,13382185,2136512,81623,2391394,5038833
1994,Texas,TX,44,Texas_1994,TX_1994,18532634,9160742,9371892,5256207,3570312,7189791,2516325,13584659,2174806,86871,2480445,5271809
1995,Texas,TX,44,Texas_1995,TX_1995,18919166,9359437,9559729,5361299,3606994,7391569,2559304,13787134,2213099,92120,2569497,5504786
1996,Texas,TX,44,Texas_1996,TX_1996,19305696,9558131,9747565,5466391,3643675,7593346,2602283,13989608,2251392,97368,2658548,5737762
1997,Texas,TX,44,Texas_1997,TX_1997,19692227,9756826,9935401,5571483,3680357,7795124,2645263,14192082,2289686,102617,2747600,5970738
1998,Texas,TX,44,Texas_1998,TX_1998,20078758,9955521,10123237,5676575,3717039,7996902,2688242,14394556,2327979,107865,2836651,6203714
1999,Texas,TX,44,Texas_1999,TX_1999,20465289,10154215,10311074,5781667,3753721,8198679,2731222,14597031,2366273,113114,2925703,6436690
2000,Texas,TX,44,Texas_2000,TX_2000,20851820,10352910,10498910,5886759,3790403,8400457,2774201,14799505,2404566,118362,3014754,6669666
2001,Texas,TX,44,Texas_2001,TX_2001,21281194,10564847,10716347,5984666,3853964,8834676,2874446,15089710,2462069,123623,3074722,6948792
2002,Texas,TX,44,Texas_2002,TX_2002,21710568,10776784,10933784,6082572,3917524,9268896,2974691,15379914,2519572,128884,3134691,7227917
2003,Texas,TX,44,Texas_2003,TX_2003,22139942,10988721,11151221,6180479,3981085,9703115,3074937,15670119,2577076,134145,3194659,7507043
2004,Texas,TX,44,Texas_2004,TX_2004,22569316,11200658,11368658,6278385,4044645,10137334,3175182,15960324,2634579,139406,3254628,7786168
2005,Texas,TX,44,Texas_2005,TX_2005,22998691,11412595,11586096,6376292,4108206,10571554,3275427,16250529,2692082,144667,3314596,8065294
2006,Texas,TX,44,Texas_2006,TX_2006,23428065,11624532,11803533,6474198,4171766,11005773,3375672,16540733,2749585,149928,3374564,8344419
2007,Texas,TX,44,Texas_2007,TX_2007,23857439,11836469,12020970,6572105,4235327,11439992,3475917,16830938,2807088,155189,3434533,8623545
2008,Texas,TX,44,Texas_2008,TX_2008,24286813,12048406,12238407,6670011,4298887,11874211,3576163,17121143,2864592,160450,3494501,8902670
2009,Texas,TX,44,Texas_2009,TX_2009,24716187,12260343,12455844,6767918,4362448,12308431,3676408,17411347,2922095,165711,3554470,9181796
2010,Texas,TX,44,Texas_2010,TX_2010,25145561,12472280,12673281,6865824,4426008,12742650,3776653,17701552,2979598,170972,3614438,9460921
2011,Texas,TX,44,Texas_2011,TX_2011,25574935,12684217,12890718,6963731,4489569,13176869,3876898,17991757,3037101,176233,3674406,9740047
2012,Texas,TX,44,Texas_2012,TX_2012,26004309,12896154,13108155,7061637,4553129,13611089,3977143,18281961,3094604,181494,3734375,10019172
2013,Texas,TX,44,Texas_2013,TX_2013,26433683,13108091,13325592,7159544,4616690,14045308,4077389,18572166,3152108,186755,3794343,10298298
2014,Texas,TX,44,Texas_2014,TX_2014,26863057,13320028,13543029,7257450,4680250,14479527,4177634,18862371,3209611,192016,3854312,10577423
2015,Texas,TX,44,Texas_2015,TX_2015,27292432,13531965,13760467,7355357,4743811,14913747,4277879,19152576,3267114,197277,3914280,10856549
2016,Texas,TX,44,Texas_2016,TX_2016,27721806,13743902,13977904,7453263,4807371,15347966,4378124,19442780,3324617,202538,3974248,11135674
2017,Texas,TX,44,Texas_2017,TX_2017,28151180,13955839,14195341,7551170,4870932,15782185,4478369,19732985,3382120,207799,4034217,11414800
2018,Texas,TX,44,Texas_2018,TX_2018,28580554,14167776,14412778,7649076,4934492,16216404,4578615,20023190,3439624,213060,4094185,11693925
1970,Utah,UT,45,Utah_1970,UT_1970,1059273,523265,536008,423850,215332,307551,112540,1031926,6617,11273,9457,33911
1971,Utah,UT,45,Utah_1971,UT_1971,1099450,543389,556061,435476,228938,318202,116834,1067133,6924,12156,10534,36550
1972,Utah,UT,45,Utah_1972,UT_1972,1139626,563512,576114,447101,242544,328853,121128,1102340,7232,13039,11610,39189
1973,Utah,UT,45,Utah_1973,UT_1973,1179802,583636,596166,458727,256150,339504,125422,1137547,7539,13922,12687,41828
1974,Utah,UT,45,Utah_1974,UT_1974,1219978,603759,616219,470352,269756,350155,129716,1172754,7847,14805,13764,44467
1975,Utah,UT,45,Utah_1975,UT_1975,1260155,623883,636272,481978,283362,360806,134010,1207962,8154,15688,14841,47107
1976,Utah,UT,45,Utah_1976,UT_1976,1300332,644007,656325,493603,296967,371457,138304,1243169,8461,16571,15917,49746
1977,Utah,UT,45,Utah_1977,UT_1977,1340508,664130,676378,505229,310573,382108,142598,1278376,8769,17454,16994,52385
1978,Utah,UT,45,Utah_1978,UT_1978,1380684,684254,696430,516854,324179,392759,146892,1313583,9076,18337,18071,55024
1979,Utah,UT,45,Utah_1979,UT_1979,1420860,704377,716483,528480,337785,403410,151186,1348790,9384,19220,19147,57663
1980,Utah,UT,45,Utah_1980,UT_1980,1461037,724501,736536,540105,351391,414061,155480,1383997,9691,20103,20224,60302
1981,Utah,UT,45,Utah_1981,UT_1981,1487219,737627,749592,548839,349983,428221,160176,1407182,9880,20521,25316,62732
1982,Utah,UT,45,Utah_1982,UT_1982,1513400,750753,762647,557573,348574,442381,164872,1430367,10068,20939,30408,65161
1983,Utah,UT,45,Utah_1983,UT_1983,1539581,763878,775703,566307,347166,456541,169568,1453551,10257,21357,35501,67591
1984,Utah,UT,45,Utah_1984,UT_1984,1565762,777004,788758,575041,345757,470701,174264,1476736,10445,21775,40593,70020
1985,Utah,UT,45,Utah_1985,UT_1985,1591944,790130,801814,583775,344349,484861,178960,1499921,10634,22193,45685,72450
1986,Utah,UT,45,Utah_1986,UT_1986,1618125,803256,814869,592508,342941,499020,183655,1523106,10822,22611,50777,74879
1987,Utah,UT,45,Utah_1987,UT_1987,1644307,816382,827925,601242,341532,513180,188351,1546291,11011,23029,55869,77309
1988,Utah,UT,45,Utah_1988,UT_1988,1670487,829507,840980,609976,340124,527340,193047,1569475,11199,23447,60962,79738
1989,Utah,UT,45,Utah_1989,UT_1989,1696669,842633,854036,618710,338715,541500,197743,1592660,11388,23865,66054,82168
1990,Utah,UT,45,Utah_1990,UT_1990,1722850,855759,867091,627444,337307,555660,202439,1615845,11576,24283,71146,84597
1991,Utah,UT,45,Utah_1991,UT_1991,1773882,882086,891796,636569,353167,576683,207463,1653558,12184,24823,78597,96293
1992,Utah,UT,45,Utah_1992,UT_1992,1824913,908413,916500,645695,369027,597706,212487,1691271,12792,25363,86048,107989
1993,Utah,UT,45,Utah_1993,UT_1993,1875946,934741,941205,654820,384886,618729,217510,1728984,13400,25903,93500,119686
1994,Utah,UT,45,Utah_1994,UT_1994,1926978,961068,965910,663946,400746,639752,222534,1766697,14008,26443,100951,131382
1995,Utah,UT,45,Utah_1995,UT_1995,1978010,987395,990615,673071,416606,660775,227558,1804410,14617,26984,108402,143078
1996,Utah,UT,45,Utah_1996,UT_1996,2029041,1013722,1015319,682196,432466,681797,232582,1842123,15225,27524,115853,154774
1997,Utah,UT,45,Utah_1997,UT_1997,2080073,1040049,1040024,691322,448326,702820,237606,1879836,15833,28064,123304,166470
1998,Utah,UT,45,Utah_1998,UT_1998,2131106,1066377,1064729,700447,464185,723843,242629,1917549,16441,28604,130756,178167
1999,Utah,UT,45,Utah_1999,UT_1999,2182137,1092704,1089433,709573,480045,744866,247653,1955262,17049,29144,138207,189863
2000,Utah,UT,45,Utah_2000,UT_2000,2233169,1119031,1114138,718698,495905,765889,252677,1992975,17657,29684,145658,201559
2001,Utah,UT,45,Utah_2001,UT_2001,2286241,1145960,1140281,733931,501073,821315,263067,2031634,18820,30008,155752,217237
2002,Utah,UT,45,Utah_2002,UT_2002,2339312,1172888,1166424,749164,506241,876740,273458,2070292,19983,30333,165845,232915
2003,Utah,UT,45,Utah_2003,UT_2003,2392384,1199817,1192567,764397,511408,932166,283848,2108951,21146,30657,175939,248593
2004,Utah,UT,45,Utah_2004,UT_2004,2445455,1226745,1218710,779630,516576,987591,294239,2147609,22309,30981,186032,264271
2005,Utah,UT,45,Utah_2005,UT_2005,2498527,1253674,1244853,794863,521744,1043017,304629,2186268,23472,31306,196126,279950
2006,Utah,UT,45,Utah_2006,UT_2006,2551599,1280603,1270996,810095,526912,1098442,315019,2224926,24635,31630,206219,295628
2007,Utah,UT,45,Utah_2007,UT_2007,2604670,1307531,1297139,825328,532080,1153868,325410,2263585,25798,31954,216313,311306
2008,Utah,UT,45,Utah_2008,UT_2008,2657742,1334460,1323282,840561,537247,1209293,335800,2302243,26961,32278,226406,326984
2009,Utah,UT,45,Utah_2009,UT_2009,2710813,1361388,1349425,855794,542415,1264719,346191,2340902,28124,32603,236500,342662
2010,Utah,UT,45,Utah_2010,UT_2010,2763885,1388317,1375568,871027,547583,1320144,356581,2379560,29287,32927,246593,358340
2011,Utah,UT,45,Utah_2011,UT_2011,2816957,1415246,1401711,886260,552751,1375570,366971,2418219,30450,33251,256687,374018
2012,Utah,UT,45,Utah_2012,UT_2012,2870028,1442174,1427854,901493,557919,1430995,377362,2456877,31613,33576,266780,389696
2013,Utah,UT,45,Utah_2013,UT_2013,2923100,1469103,1453997,916726,563086,1486421,387752,2495536,32776,33900,276874,405374
2014,Utah,UT,45,Utah_2014,UT_2014,2976171,1496031,1480140,931959,568254,1541846,398143,2534194,33939,34224,286967,421052
2015,Utah,UT,45,Utah_2015,UT_2015,3029243,1522960,1506283,947192,573422,1597272,408533,2572853,35102,34549,297061,436731
2016,Utah,UT,45,Utah_2016,UT_2016,3082315,1549889,1532426,962424,578590,1652697,418923,2611511,36265,34873,307154,452409
2017,Utah,UT,45,Utah_2017,UT_2017,3135386,1576817,1558569,977657,583758,1708123,429314,2650170,37428,35197,317248,468087
2018,Utah,UT,45,Utah_2018,UT_2018,3188458,1603746,1584712,992890,588925,1763548,439704,2688828,38591,35521,327341,483765
1970,Vermont,VT,46,Vermont_1970,VT_1970,444330,217166,227164,156766,83779,137322,66463,442553,761,229,787,1610
1971,Vermont,VT,46,Vermont_1971,VT_1971,451042,220357,230685,155621,86997,140689,67736,449003,804,313,872,1779
1972,Vermont,VT,46,Vermont_1972,VT_1972,457755,223549,234206,154476,90214,144057,69008,455453,846,397,958,1949
1973,Vermont,VT,46,Vermont_1973,VT_1973,464468,226740,237728,153332,93432,147424,70281,461903,889,481,1043,2118
1974,Vermont,VT,46,Vermont_1974,VT_1974,471181,229932,241249,152187,96649,150791,71553,468353,932,565,1128,2288
1975,Vermont,VT,46,Vermont_1975,VT_1975,477893,233123,244770,151042,99867,154159,72826,474803,975,649,1214,2457
1976,Vermont,VT,46,Vermont_1976,VT_1976,484605,236314,248291,149897,103084,157526,74099,481252,1017,732,1299,2626
1977,Vermont,VT,46,Vermont_1977,VT_1977,491318,239506,251812,148752,106302,160893,75371,487702,1060,816,1384,2796
1978,Vermont,VT,46,Vermont_1978,VT_1978,498031,242697,255334,147608,109519,164260,76644,494152,1103,900,1469,2965
1979,Vermont,VT,46,Vermont_1979,VT_1979,504744,245889,258855,146463,112737,167628,77916,500602,1145,984,1555,3135
1980,Vermont,VT,46,Vermont_1980,VT_1980,511456,249080,262376,145318,115954,170995,79189,507052,1188,1068,1640,3304
1981,Vermont,VT,46,Vermont_1981,VT_1981,516586,251721,264865,145095,115201,176156,80135,511856,1264,1131,1878,3340
1982,Vermont,VT,46,Vermont_1982,VT_1982,521716,254362,267354,144871,114449,181317,81080,516659,1341,1194,2117,3375
1983,Vermont,VT,46,Vermont_1983,VT_1983,526847,257004,269843,144648,113696,186478,82026,521463,1417,1256,2355,3411
1984,Vermont,VT,46,Vermont_1984,VT_1984,531977,259645,272332,144424,112943,191639,82971,526266,1493,1319,2593,3447
1985,Vermont,VT,46,Vermont_1985,VT_1985,537107,262286,274821,144201,112191,196800,83917,531070,1570,1382,2832,3483
1986,Vermont,VT,46,Vermont_1986,VT_1986,542237,264927,277310,143977,111438,201960,84862,535874,1646,1445,3070,3518
1987,Vermont,VT,46,Vermont_1987,VT_1987,547367,267568,279799,143754,110685,207121,85808,540677,1722,1508,3308,3554
1988,Vermont,VT,46,Vermont_1988,VT_1988,552498,270210,282288,143530,109932,212282,86753,545481,1798,1570,3546,3590
1989,Vermont,VT,46,Vermont_1989,VT_1989,557628,272851,284777,143307,109180,217443,87699,550284,1875,1633,3785,3625
1990,Vermont,VT,46,Vermont_1990,VT_1990,562758,275492,287266,143083,108427,222604,88644,555088,1951,1696,4023,3661
1991,Vermont,VT,46,Vermont_1991,VT_1991,567365,277777,289588,143527,106661,227215,89962,558500,2062,1768,4301,3845
1992,Vermont,VT,46,Vermont_1992,VT_1992,571972,280061,291911,143971,104895,231825,91281,561912,2173,1841,4579,4030
1993,Vermont,VT,46,Vermont_1993,VT_1993,576579,282346,294233,144415,103129,236436,92599,565324,2285,1913,4856,4214
1994,Vermont,VT,46,Vermont_1994,VT_1994,581186,284630,296556,144859,101363,241046,93917,568736,2396,1986,5134,4398
1995,Vermont,VT,46,Vermont_1995,VT_1995,585793,286915,298878,145303,99598,245657,95236,572148,2507,2058,5412,4583
1996,Vermont,VT,46,Vermont_1996,VT_1996,590399,289199,301200,145747,97832,250267,96554,575560,2618,2130,5690,4767
1997,Vermont,VT,46,Vermont_1997,VT_1997,595007,291484,303523,146191,96066,254878,97872,578972,2729,2203,5968,4951
1998,Vermont,VT,46,Vermont_1998,VT_1998,599613,293768,305845,146635,94300,259488,99190,582384,2841,2275,6245,5135
1999,Vermont,VT,46,Vermont_1999,VT_1999,604221,296053,308168,147079,92534,264099,100509,585796,2952,2348,6523,5320
2000,Vermont,VT,46,Vermont_2000,VT_2000,608827,298337,310490,147523,90768,268709,101827,589208,3063,2420,6801,5504
2001,Vermont,VT,46,Vermont_2001,VT_2001,610519,299324,311195,145694,91723,274840,104876,589916,3384,2399,7142,5874
2002,Vermont,VT,46,Vermont_2002,VT_2002,612210,300311,311899,143865,92677,280970,107924,590625,3706,2377,7483,6245
2003,Vermont,VT,46,Vermont_2003,VT_2003,613902,301298,312604,142036,93632,287101,110973,591333,4027,2356,7824,6615
2004,Vermont,VT,46,Vermont_2004,VT_2004,615593,302285,313308,140207,94586,293231,114021,592042,4349,2335,8165,6986
2005,Vermont,VT,46,Vermont_2005,VT_2005,617285,303272,314013,138378,95541,299362,117070,592750,4670,2314,8507,7356
2006,Vermont,VT,46,Vermont_2006,VT_2006,618975,304258,314717,136549,96496,305493,120118,593458,4991,2292,8848,7726
2007,Vermont,VT,46,Vermont_2007,VT_2007,620667,305245,315422,134720,97450,311623,123167,594167,5313,2271,9189,8097
2008,Vermont,VT,46,Vermont_2008,VT_2008,622358,306232,316126,132891,98405,317754,126215,594875,5634,2250,9530,8467
2009,Vermont,VT,46,Vermont_2009,VT_2009,624050,307219,316831,131062,99359,323884,129264,595584,5956,2228,9871,8838
2010,Vermont,VT,46,Vermont_2010,VT_2010,625741,308206,317535,129233,100314,330015,132312,596292,6277,2207,10212,9208
2011,Vermont,VT,46,Vermont_2011,VT_2011,627433,309193,318240,127404,101269,336146,135361,597000,6598,2186,10553,9578
2012,Vermont,VT,46,Vermont_2012,VT_2012,629124,310180,318944,125575,102223,342276,138409,597709,6920,2164,10894,9949
2013,Vermont,VT,46,Vermont_2013,VT_2013,630816,311167,319649,123746,103178,348407,141458,598417,7241,2143,11235,10319
2014,Vermont,VT,46,Vermont_2014,VT_2014,632507,312154,320353,121917,104132,354537,144506,599126,7563,2122,11576,10690
2015,Vermont,VT,46,Vermont_2015,VT_2015,634199,313141,321058,120088,105087,360668,147555,599834,7884,2101,11918,11060
2016,Vermont,VT,46,Vermont_2016,VT_2016,635889,314127,321762,118259,106042,366799,150603,600542,8205,2079,12259,11430
2017,Vermont,VT,46,Vermont_2017,VT_2017,637581,315114,322467,116430,106996,372929,153652,601251,8527,2058,12600,11801
2018,Vermont,VT,46,Vermont_2018,VT_2018,639272,316101,323171,114601,107951,379060,156700,601959,8848,2037,12941,12171
1970,Virginia,VA,47,Virginia_1970,VA_1970,4648494,2297121,2351373,1589280,949788,1571372,538054,3761514,861368,4853,20759,40222
1971,Virginia,VA,47,Virginia_1971,VA_1971,4718327,2329240,2389087,1577785,976757,1606898,556886,3808997,876098,5375,25740,44187
1972,Virginia,VA,47,Virginia_1972,VA_1972,4788159,2361359,2426800,1566291,1003727,1642424,575717,3856480,890827,5896,30721,48151
1973,Virginia,VA,47,Virginia_1973,VA_1973,4857992,2393478,2464514,1554796,1030696,1677950,594549,3903963,905557,6418,35702,52116
1974,Virginia,VA,47,Virginia_1974,VA_1974,4927824,2425597,2502227,1543302,1057665,1713476,613380,3951446,920287,6939,40683,56080
1975,Virginia,VA,47,Virginia_1975,VA_1975,4997657,2457716,2539941,1531807,1084635,1749003,632212,3998930,935017,7461,45664,60045
1976,Virginia,VA,47,Virginia_1976,VA_1976,5067488,2489834,2577654,1520312,1111604,1784529,651044,4046413,949746,7983,50645,64010
1977,Virginia,VA,47,Virginia_1977,VA_1977,5137321,2521953,2615368,1508818,1138573,1820055,669875,4093896,964476,8504,55626,67974
1978,Virginia,VA,47,Virginia_1978,VA_1978,5207153,2554072,2653081,1497323,1165542,1855581,688707,4141379,979206,9026,60607,71939
1979,Virginia,VA,47,Virginia_1979,VA_1979,5276986,2586191,2690795,1485829,1192512,1891107,707538,4188862,993935,9547,65588,75903
1980,Virginia,VA,47,Virginia_1980,VA_1980,5346818,2618310,2728508,1474334,1219481,1926633,726370,4236345,1008665,10069,70569,79868
1981,Virginia,VA,47,Virginia_1981,VA_1981,5430872,2659876,2770996,1477374,1226930,1981844,744724,4291884,1024098,10590,85246,87910
1982,Virginia,VA,47,Virginia_1982,VA_1982,5514926,2701443,2813483,1480415,1234379,2037055,763077,4347424,1039531,11112,99924,95952
1983,Virginia,VA,47,Virginia_1983,VA_1983,5598980,2743009,2855971,1483455,1241828,2092266,781431,4402963,1054964,11633,114601,103994
1984,Virginia,VA,47,Virginia_1984,VA_1984,5683034,2784576,2898458,1486496,1249277,2147477,799784,4458503,1070397,12154,129279,112036
1985,Virginia,VA,47,Virginia_1985,VA_1985,5767088,2826142,2940946,1489536,1256727,2202688,818138,4514042,1085830,12676,143956,120078
1986,Virginia,VA,47,Virginia_1986,VA_1986,5851142,2867708,2983434,1492576,1264176,2257898,836492,4569581,1101262,13197,158633,128120
1987,Virginia,VA,47,Virginia_1987,VA_1987,5935196,2909275,3025921,1495617,1271625,2313109,854845,4625121,1116695,13718,173311,136162
1988,Virginia,VA,47,Virginia_1988,VA_1988,6019250,2950841,3068409,1498657,1279074,2368320,873199,4680660,1132128,14239,187988,144204
1989,Virginia,VA,47,Virginia_1989,VA_1989,6103304,2992408,3110896,1501698,1286523,2423531,891552,4736200,1147561,14761,202666,152246
1990,Virginia,VA,47,Virginia_1990,VA_1990,6187358,3033974,3153384,1504738,1293972,2478742,909906,4791739,1162994,15282,217343,160288
1991,Virginia,VA,47,Virginia_1991,VA_1991,6276474,3077766,3198708,1528090,1282232,2540686,925466,4824576,1185724,15871,235996,177213
1992,Virginia,VA,47,Virginia_1992,VA_1992,6365589,3121558,3244031,1551443,1270492,2602630,941025,4857413,1208454,16460,254649,194138
1993,Virginia,VA,47,Virginia_1993,VA_1993,6454705,3165350,3289355,1574795,1258751,2664574,956585,4890250,1231184,17049,273301,211064
1994,Virginia,VA,47,Virginia_1994,VA_1994,6543820,3209142,3334678,1598148,1247011,2726518,972144,4923087,1253914,17638,291954,227989
1995,Virginia,VA,47,Virginia_1995,VA_1995,6632937,3252935,3380002,1621500,1235271,2788462,987704,4955925,1276644,18227,310607,244914
1996,Virginia,VA,47,Virginia_1996,VA_1996,6722053,3296727,3425326,1644852,1223531,2850405,1003264,4988762,1299373,18816,329260,261839
1997,Virginia,VA,47,Virginia_1997,VA_1997,6811168,3340519,3470649,1668205,1211791,2912349,1018823,5021599,1322103,19405,347913,278764
1998,Virginia,VA,47,Virginia_1998,VA_1998,6900284,3384311,3515973,1691557,1200050,2974293,1034383,5054436,1344833,19994,366565,295690
1999,Virginia,VA,47,Virginia_1999,VA_1999,6989399,3428103,3561296,1714910,1188310,3036237,1049942,5087273,1367563,20583,385218,312615
2000,Virginia,VA,47,Virginia_2000,VA_2000,7078515,3471895,3606620,1738262,1176570,3098181,1065502,5120110,1390293,21172,403871,329540
2001,Virginia,VA,47,Virginia_2001,VA_2001,7170766,3517304,3653462,1749804,1195557,3208559,1100882,5156784,1406404,21977,433499,359769
2002,Virginia,VA,47,Virginia_2002,VA_2002,7263017,3562713,3700304,1761345,1214544,3318938,1136263,5193458,1422514,22783,463126,389997
2003,Virginia,VA,47,Virginia_2003,VA_2003,7355267,3608121,3747146,1772887,1233531,3429316,1171643,5230133,1438625,23588,492754,420226
2004,Virginia,VA,47,Virginia_2004,VA_2004,7447518,3653530,3793988,1784428,1252518,3539694,1207024,5266807,1454735,24393,522382,450454
2005,Virginia,VA,47,Virginia_2005,VA_2005,7539770,3698939,3840831,1795970,1271506,3650073,1242404,5303481,1470846,25199,552010,480683
2006,Virginia,VA,47,Virginia_2006,VA_2006,7632021,3744348,3887673,1807511,1290493,3760451,1277784,5340155,1486957,26004,581637,510911
2007,Virginia,VA,47,Virginia_2007,VA_2007,7724272,3789757,3934515,1819053,1309480,3870829,1313165,5376829,1503067,26809,611265,541140
2008,Virginia,VA,47,Virginia_2008,VA_2008,7816522,3835165,3981357,1830594,1328467,3981207,1348545,5413504,1519178,27614,640893,571368
2009,Virginia,VA,47,Virginia_2009,VA_2009,7908773,3880574,4028199,1842136,1347454,4091586,1383926,5450178,1535288,28420,670520,601597
2010,Virginia,VA,47,Virginia_2010,VA_2010,8001024,3925983,4075041,1853677,1366441,4201964,1419306,5486852,1551399,29225,700148,631825
2011,Virginia,VA,47,Virginia_2011,VA_2011,8093275,3971392,4121883,1865219,1385428,4312342,1454686,5523526,1567510,30030,729776,662054
2012,Virginia,VA,47,Virginia_2012,VA_2012,8185526,4016801,4168725,1876760,1404415,4422721,1490067,5560200,1583620,30836,759403,692282
2013,Virginia,VA,47,Virginia_2013,VA_2013,8277776,4062209,4215567,1888302,1423402,4533099,1525447,5596875,1599731,31641,789031,722511
2014,Virginia,VA,47,Virginia_2014,VA_2014,8370027,4107618,4262409,1899843,1442389,4643477,1560828,5633549,1615841,32446,818659,752739
2015,Virginia,VA,47,Virginia_2015,VA_2015,8462279,4153027,4309252,1911385,1461377,4753856,1596208,5670223,1631952,33252,848287,782968
2016,Virginia,VA,47,Virginia_2016,VA_2016,8554530,4198436,4356094,1922926,1480364,4864234,1631588,5706897,1648063,34057,877914,813196
2017,Virginia,VA,47,Virginia_2017,VA_2017,8646781,4243845,4402936,1934468,1499351,4974612,1666969,5743571,1664173,34862,907542,843425
2018,Virginia,VA,47,Virginia_2018,VA_2018,8739031,4289253,4449778,1946009,1518338,5084990,1702349,5780246,1680284,35667,937170,873653
1970,Washington,WA,48,Washington_1970,WA_1970,3409169,1693747,1715422,1159774,662528,1126778,460089,3251055,71308,33386,53420,57358
1971,Washington,WA,48,Washington_1971,WA_1971,3481468,1729603,1751865,1157733,690708,1157887,475140,3305049,74738,36428,59239,63624
1972,Washington,WA,48,Washington_1972,WA_1972,3553766,1765459,1788307,1155691,718889,1188996,490191,3359042,78167,39470,65057,69890
1973,Washington,WA,48,Washington_1973,WA_1973,3626065,1801315,1824750,1153650,747069,1220104,505242,3413036,81597,42513,70876,76155
1974,Washington,WA,48,Washington_1974,WA_1974,3698364,1837171,1861193,1151608,775249,1251213,520293,3467029,85026,45555,76695,82421
1975,Washington,WA,48,Washington_1975,WA_1975,3770663,1873027,1897636,1149567,803430,1282322,535344,3521023,88456,48597,82514,88687
1976,Washington,WA,48,Washington_1976,WA_1976,3842961,1908883,1934078,1147526,831610,1313431,550395,3575016,91886,51639,88332,94953
1977,Washington,WA,48,Washington_1977,WA_1977,3915260,1944739,1970521,1145484,859790,1344540,565446,3629010,95315,54681,94151,101219
1978,Washington,WA,48,Washington_1978,WA_1978,3987559,1980595,2006964,1143443,887970,1375648,580497,3683003,98745,57724,99970,107484
1979,Washington,WA,48,Washington_1979,WA_1979,4059857,2016451,2043406,1141401,916151,1406757,595548,3736997,102174,60766,105788,113750
1980,Washington,WA,48,Washington_1980,WA_1980,4132156,2052307,2079849,1139360,944331,1437866,610599,3790990,105604,63808,111607,120016
1981,Washington,WA,48,Washington_1981,WA_1981,4205610,2088451,2117159,1151563,939934,1488107,626006,3842785,110024,65576,133093,129471
1982,Washington,WA,48,Washington_1982,WA_1982,4279063,2124595,2154468,1163765,935537,1538348,641413,3894579,114443,67343,154580,138927
1983,Washington,WA,48,Washington_1983,WA_1983,4352517,2160739,2191778,1175968,931140,1588588,656820,3946374,118863,69111,176066,148382
1984,Washington,WA,48,Washington_1984,WA_1984,4425970,2196883,2229087,1188171,926743,1638829,672227,3998169,123283,70878,197553,157838
1985,Washington,WA,48,Washington_1985,WA_1985,4499424,2233027,2266397,1200374,922346,1689070,687635,4049964,127703,72646,219039,167293
1986,Washington,WA,48,Washington_1986,WA_1986,4572878,2269171,2303707,1212576,917949,1739311,703042,4101758,132122,74413,240525,176748
1987,Washington,WA,48,Washington_1987,WA_1987,4646331,2305315,2341016,1224779,913552,1789552,718449,4153553,136542,76181,262012,186204
1988,Washington,WA,48,Washington_1988,WA_1988,4719785,2341459,2378326,1236982,909155,1839792,733856,4205348,140962,77948,283498,195659
1989,Washington,WA,48,Washington_1989,WA_1989,4793238,2377603,2415635,1249184,904758,1890033,749263,4257142,145381,79716,304985,205115
1990,Washington,WA,48,Washington_1990,WA_1990,4866692,2413747,2452945,1261387,900361,1940274,764670,4308937,149801,81483,326471,214570
1991,Washington,WA,48,Washington_1991,WA_1991,4969435,2465802,2503633,1286633,906626,2000651,775525,4360226,153848,82665,351345,237264
1992,Washington,WA,48,Washington_1992,WA_1992,5072178,2517858,2554320,1311878,912891,2061028,786381,4411514,157894,83847,376219,259958
1993,Washington,WA,48,Washington_1993,WA_1993,5174921,2569913,2605008,1337124,919157,2121404,797236,4462803,161941,85028,401093,282652
1994,Washington,WA,48,Washington_1994,WA_1994,5277663,2621968,2655695,1362369,925422,2181781,808091,4514091,165987,86210,425967,305346
1995,Washington,WA,48,Washington_1995,WA_1995,5380407,2674024,2706383,1387615,931687,2242158,818947,4565380,170034,87392,450841,328040
1996,Washington,WA,48,Washington_1996,WA_1996,5483150,2726079,2757071,1412861,937952,2302535,829802,4616669,174081,88574,475715,350733
1997,Washington,WA,48,Washington_1997,WA_1997,5585892,2778134,2807758,1438106,944217,2362912,840657,4667957,178127,89756,500589,373427
1998,Washington,WA,48,Washington_1998,WA_1998,5688635,2830189,2858446,1463352,950483,2423288,851512,4719246,182174,90937,525463,396121
